Document Title,EC1,EC2,EC3,EC4,EC5
{Geppetto: {An} {Environment} for the {Efficient} {Control} and {Transmission} of {Digital} {Puppetry}},-,-,-,-,X
{Full-{Body} {Portable} {Virtual} {Reality} for {Personal} {Protective} {Equipment} {Training}},X,-,-,-,X
{A {Virtual} {Kitchen} for {Cognitive} {Rehabilitation} of {Alzheimer} {Patients}},X,-,-,-,X
{Fighting {Technology} {Dumb} {Down}: {Our} {Cognitive} {Capacity} for {Effortful} {AR} {Navigation} {Tools}},X,-,-,-,X
{Haptic {Guidance} for {Teleoperation}: {Optimizing} {Performance} and {User} {Experience}},X,-,-,-,X
{Low-{Cost} {Mixed} {Reality} {Simulator} for {Industrial} {Vehicle} {Environments}},X,-,-,-,X
{Design of a {Novel} {Web} {Utility} that {Provides} {Multi}-lingual {Word} {Definitions} for {Child} {E}-{Book} {Applications}},X,-,-,-,X
{\$\${\textbackslash}delta \$\$-logit : {Dynamic} {Difficulty} {Adjustment} {Using} {Few} {Data} {Points}},X,-,-,-,-
{Balancing {Act}: {Enabling} {Public} {Engagement} with {Sustainability} {Issues} through a {Multi}-touch {Tabletop} {Collaborative} {Game}},X,-,-,-,X
{Rapid {Prototyping} for {Mobile} {Serious} {Games}},X,-,-,-,X
{Assembly {Training}: {Comparing} the {Effects} of {Head}-{Mounted} {Displays} and {Face}-to-{Face} {Training}},X,-,-,-,X
{{RoboCup} 2012 {Rescue} {Simulation} {League} {Winners}},X,-,-,-,X
{Applying {Social} {Gamification} in a {Gamified} {Point} {System}},X,-,-,-,X
{The {Museum} {Guidance} {System} in {Gamification} {Design}},X,-,-,-,X
{Introducing an {Edge}-{Native} {Deep} {Learning} {Platform} for {Exergames}},X,-,-,-,X
{Comparing {Objective} and {Subjective} {Metrics} {Between} {Physical} and {Virtual} {Tasks}},X,-,-,-,X
{Body {Ownership} of {Virtual} {Avatars}: {An} {Affordance} {Approach} of {Telepresence}},X,-,-,-,X
{Improved {Memory} {Elicitation} in {Virtual} {Reality}: {New} {Experimental} {Results} and {Insights}},X,-,-,-,X
{Story {Envisioning} {Framework} for {Visualized} {Collective} {Storytelling} in {Conversation}},X,-,-,-,X
{A {Multimodal} {Human}-{Computer} {Interaction} {System} and {Its} {Application} in {Smart} {Learning} {Environments}},X,-,-,-,X
{Training {Effectiveness} {Evaluation}: {Call} for {Fire} {Trainer} – {Augmented} {Virtuality} ({CFFT}-{AV})},X,-,-,-,X
{A {Card} {Playing} {Humanoid} for {Understanding} {Socio}-emotional {Interaction}},X,-,-,-,X
"{Personalized {Support}, {Guidance}, and {Feedback} by {Embedded} {Assessment} and {Reasoning}: {What} {We} {Can} {Learn} from {Educational} {Computer} {Games}}",X,-,-,-,X
{Trust in {Autonomous} {Systems} for {Threat} {Analysis}: {A} {Simulation} {Methodology}},X,-,-,-,X
{A {Step} towards {Adaptive} {Multimodal} {Virtual} {Social} {Interaction} {Platform} for {Children} with {Autism}},X,-,-,-,X
{On the {Potential} of {Using} {Virtual} {Reality} for {Teacher} {Education}},X,-,-,-,X
{Client-{Side} {Adaptive} {Search} {Optimisation} for {Online} {Game} {Server} {Discovery}},X,-,-,-,X
{Egocentric {Distance} {Perception} {Control} for {Direct} {Manipulation} {Interaction} on {HMD} {Platform}},-,-,-,-,X
{A {Natural} {User} {Interface} for {Navigating} in {Organized} {3D} {Virtual} {Contents}},X,-,-,-,X
{Maritime {City}: {Using} {Games} {Technology} to {Train} {Social} {Workers} – {Some} {Initial} {Results}},-,-,-,-,X
{Interactive {Augmented} {Reality}: {A} {New} {Approach} for {Collaborative} {Learning}},-,-,-,-,X
{1st {Workshop} on {Game} {Development} and {Model}-{Driven} {Software} {Development}},X,-,-,-,X
{Body {Buddies}: {Social} {Signaling} through {Puppeteering}},-,-,-,-,X
{Predicting and {Visualising} {City} {Noise} {Levels} to {Support} {Tinnitus} {Sufferers}},X,-,-,-,X
{A {New} {Motion}-{Based} {Tool} for {Occupation} and {Monitoring} of {Residents} in {Nursing} {Homes}},X,-,-,-,X
{Cyber {Security} {Training} and {Awareness} {Through} {Game} {Play}},X,-,-,-,X
{Using {Augmented} {Reality} {Interactive} {System} to {Support} {Digital} {Electronics} {Learning}},X,-,-,-,X
{Version {Control} {System} {Gamification}: {A} {Proposal} to {Encourage} the {Engagement} of {Developers} to {Collaborate} in {Software} {Projects}},X,-,-,-,X
{Spheres of {Play}: {Designing} {Games} and {Interfaces} for {Media} {Architectures}},X,-,-,-,X
{Yasmine’s {Adventures}: {An} {Interactive} {Urban} {Experience} {Exploring} the {Sociocultural} {Potential} of {Digital} {Entertainment}},-,-,-,-,X
{A {Virtual} {Reality} {Driving} {Environment} for {Training} {Safe} {Gaze} {Patterns}: {Application} in {Individuals} with {ASD}},X,-,-,-,X
{Research on {Application} of {Gesture} {Recognition} {Technology} in {Traditional} {Puppet} {Show}},X,-,-,-,X
"{Augmented {Reality} in {Education}: {A} {Study} on {Preschool} {Children}, {Parents}, and {Teachers} in {Bangladesh}}",X,-,-,-,X
"{A {Data}-{Driven} {Mobile} {Application} for {Efficient}, {Engaging}, and {Accurate} {Screening} of {ASD} in {Toddlers}}",X,-,-,-,X
{Cognitive {Agents} for {Microscopic} {Traffic} {Simulations} in {Virtual} {Environments}},X,-,-,-,X
{Entertainment {Computing} in the {Orbit}},X,-,-,-,X
{Developing a {Human} {Behavior} {Simulation} {Technology} in the {Real}-{Time} {Manner} {Based} on {BIM}},X,-,-,-,X
{Voice and {Speech} {Training} {System} for the {Hearing}-{Impaired} {Children} {Using} {Tablet} {Terminal}},X,-,-,-,X
{Backend {Infrastructure} {Supporting} {Audio} {Augmented} {Reality} and {Storytelling}},X,-,-,-,X
{Designing {Educational} {Virtual} {Environments} for {Construction} {Safety}: {A} {Case} {Study} in {Contextualizing} {Incident} {Reports} and {Engaging} {Learners}},X,-,-,-,X
{{OpenFACS}: {An} {Open} {Source} {FACS}-{Based} {3D} {Face} {Animation} {System}},-,-,-,-,X
{Xavier {Electromyographic} {Wheelchair} {Control} and {Virtual} {Training}},X,-,-,-,X
"{Educational {Digital} {Games}: {A} {Theoretical} {Framework} {About} {Design} {Models}, {Learning} {Theories} and {User} {Experience}}",X,-,-,-,X
{360 {Degree} {Mixed} {Reality} {Environment} to {Evaluate} {Interaction} {Design} for {Industrial} {Vehicles} {Including} {Head}-{Up} and {Head}-{Down} {Displays}},X,-,-,-,X
{Developing a {VR} {Tool} to {Support} {Repeat} {Pattern} {Design} {Learning}},X,-,-,-,X
{Play-{Personas}: {Behaviours} and {Belief} {Systems} in {User}-{Centred} {Game} {Design}},X,-,-,-,X
{Educational: {3D} {Design} for {Mobile} {Augmented} {Reality}},-,-,-,-,X
{Innovation in {Learning} – {The} {Use} of {Avatar} for {Sign} {Language}},X,-,-,-,X
{Leveraging {Unencumbered} {Full} {Body} {Control} of {Animated} {Virtual} {Characters} for {Game}-{Based} {Rehabilitation}},X,-,-,-,X
{Strategic {Path} {Planning} on the {Basis} of {Risk} vs. {Time}},X,-,-,-,X
{Exer-{Learning} {Games}: {Transferring} {Hopscotch} from the {Schoolyard} to the {Classroom}},X,-,-,-,X
{Future {Delta} {Motivating} {Climate} {Change} {Action} {Grounded} in {Place}},-,-,-,-,X
{Flexible {Virtual} {Environments}: {Gamifying} {Immersive} {Learning}},X,-,-,-,X
{A {Natural} {Interaction} {VR} {Environment} for {Surgical} {Instrumentation} {Training}},X,-,-,-,X
{See the {Flex}: {Investigating} {Various} {Display} {Settings} for {Different} {Study} {Conditions}},X,-,-,-,X
{Editor of {O} \& {M} {Virtual} {Environments} for the {Training} of {People} with {Visual} {Impairment}},X,-,-,-,X
{Feasibility of {Wearable} {Fitness} {Trackers} for {Adapting} {Multimodal} {Communication}},X,-,-,-,X
{Video {Gaming} for {Blind} {Learners} {School} {Integration} in {Science} {Classes}},X,-,-,-,X
{Leaving {Hints}: {Using} {Player} {In}-{Game} {Hints} to {Measure} and {Improve} {Learning}},-,-,-,-,X
{Hand {Tracking} and {Haptic}-{Based} {Jugular} {Neonate} {Central} {Venous} {Access} {Procedure}},-,-,-,-,X
{Open {City} {Museum}: {Unveiling} the {Cultural} {Heritage} of {Athens} {Through} an -{Augmented} {Reality} {Based}- {Time} {Leap}},X,-,-,-,X
{{UX} {Aspects} of {Kinect}-{Based} {Movement} {Schemes} {Inside} {Virtual} {Environments} for {Museum} {Installations}},X,-,-,-,X
{The {Effects} of {Body} {Gestures} and {Gender} on {Viewer}’s {Perception} of {Animated} {Pedagogical} {Agent}’s {Emotions}},X,-,-,-,X
{Immersive {Virtual} {Reality} {Environment} to {Test} {Interface} of {Advanced} {Driver} {Assistance} {Systems} for {Elder} {Driver}},X,-,-,-,X
{Taking {Neuropsychological} {Test} to the {Next} {Level}: {Commercial} {Virtual} {Reality} {Video} {Games} for the {Assessment} of {Executive} {Functions}},X,-,-,-,X
{Cutscenes in {Computer} {Games} as an {Information} {System}},X,-,-,-,X
{User {Interface} and {Interaction} {Design} in {Future} {Auto}-{Mobility}},X,-,-,-,X
{Collaborative {Serious} {Games} for {Awareness} on {Shared} {Resources} in {Supply} {Chain} {Management}},X,-,-,-,X
{Could {People} with {Stereo}-{Deficiencies} {Have} a {Rich} {3D} {Experience} {Using} {HMDs}?},X,-,-,-,X
{Multiuser {Collaborative} {Exploration} of {Immersive} {Photorealistic} {Virtual} {Environments} in {Public} {Spaces}},X,-,-,-,X
{Gamification {Techniques} for {Raising} {Cyber} {Security} {Awareness}},X,-,-,-,X
{Mixed {Realities} – {Virtual} {Object} {Lessons}},X,-,-,-,X
{Tapology: {A} {Game}-{Based} {Platform} to {Facilitate} {E}-{Health} and {E}-{Inclusion}},X,-,-,-,X
{Movement-{Free} {Virtual} {Reality} {Interface} {Using} {Kinesthetic} {Illusion} {Induced} by {Tendon} {Vibration}},X,-,-,-,X
{{FedGrid}: {An} {HLA} {Approach} to {Federating} {Grids}},-,-,-,-,X
{A {Haptic} {Virtual} {Kitchen} for the {Cognitive} {Empowerment} of {Children} with {Autism} {Spectrum} {Disorder}},-,-,-,-,X
{Optimal {User} {Interface} {Parameters} for {Dual}-{Sided} {Transparent} {Screens} in {Layered} {Window} {Conditions}},X,-,-,-,X
{Sound {Clay}: {An} {Immersive} {Art} {Form} by {Sculpting} {Clay} and {Sound}},-,-,-,-,X
"{Safety {Does} {Not} {Happen} by {Accident}, {Can} {Gaming} {Help} {Improve} {Occupational} {Health} and {Safety} in {Organizations}?}",X,-,-,-,X
{Fourier-{Information} {Duality} in the {Identity} {Management} {Problem}},X,-,-,-,X
{Using {Immersive} {Virtual} {Reality} {Serious} {Games} for {Vocational} {Rehabilitation} of {Individuals} with {Physical} {Disabilities}},X,-,-,-,X
"{Semantic {Representation} {Analysis}: {A} {General} {Framework} for {Individualized}, {Domain}-{Specific} and {Context}-{Sensitive} {Semantic} {Processing}}",X,-,-,-,X
{{ToBI} - {Team} of {Bielefeld} {Enhancing} the {Robot} {Capabilities} of the {Social} {Standard} {Platform} {Pepper}},X,-,-,-,X
{Proposal of {Evacuation} {Support} {System} and {Evaluation} by {Multi}-agent {Simulation} in a {Regional} {Disaster}},X,-,-,-,X
{Interactive {Training} and {Operation} {Ecosystem} for {Surgical} {Tasks} in {Mixed} {Reality}},X,-,-,-,X
{A {Framework} for {Accessibility} in {XR} {Environments}},X,-,-,-,X
{Human {Considerations} in the {Application} of {Cognitive} {Decision} {Models} for {HRI}},X,-,-,-,X
{Virtual {Reality} {Based} {Assessment} of {Static} {Object} {Visual} {Search} in {Ocular} {Compared} to {Cerebral} {Visual} {Impairment}},X,-,-,-,X
"{Three {Apps} for {Shooting} {Sports}: {The} {Design}, {Development}, and {Deployment}}",X,-,-,-,X
{A {Model}-{Driven} {Engineering} {Approach} for {Immersive} {Mixed}-{Reality} {Environments}},X,-,-,-,X
{Eureka: {Realizing} {That} an {Application} is {Responding} to {Your} {Brainwaves}},X,-,-,-,X
{Testing {Ambient} {Assisted} {Living} {Solutions} with {Simulations}},-,-,-,-,X
{Designing {Unconscious} and {Enactive} {Interaction} for {Interactive} {Movie} {Experience}},X,-,-,-,X
{A {Natural} {Interface} for the {Training} of {Medical} {Personnel} in an {Immersive} and {Virtual} {Reality} {System}},-,-,-,-,X
{Gaming after {Dark}},X,-,-,-,X
{Give {MEANinGS} to {Robots} with {Kitchen} {Clash}: {A} {VR} {Human} {Computation} {Serious} {Game} for {World} {Knowledge} {Accumulation}},X,-,-,-,X
{Why {Can}’t a {Virtual} {Character} {Be} {More} {Like} a {Human}: {A} {Mixed}-{Initiative} {Approach} to {Believable} {Agents}},X,-,-,-,X
{Integration of an {Exocentric} {Orthogonal} {Coplanar} 360 {Degree} {Top} {View} in a {Head} {Worn} {See}-{Through} {Display} {Supporting} {Obstacle} {Awareness} for {Helicopter} {Operations}},X,-,-,-,X
{Employing a {User}-{Centered} {Design} {Process} to {Create} a {Multiplayer} {Online} {Escape} {Game} for {Older} {Adults}},X,-,-,-,X
{Effects of {Instruction} {Methods} on {User} {Experience} in {Virtual} {Reality} {Serious} {Games}},X,-,-,-,X
{On {Addressing} the {Challenges} of {Complex} {Stochastic} {Games} {Using} “{Representative}” {Moves}},X,-,-,-,X
{Interacting with {Intelligent} {Digital} {Twins}},X,-,-,-,X
{Real-{Time} {Static} {Gesture} {Recognition} for {Upper} {Extremity} {Rehabilitation} {Using} the {Leap} {Motion}},X,-,-,-,X
{Use of {Virtual} {Reality} and {Human}-{Computer} {Interface} for {Diagnostic} and {Treatment} {Purposes} in {Human} {Sexuality} {Research}},X,-,-,-,X
"{Do {You} {Eat} {This}? {Changing} {Behavior} {Through} {Gamification}, {Crowdsourcing} and {Civic} {Engagement}}",X,-,-,-,X
{Video {Game} {Design} for {Mobile} {Phones}},-,-,-,-,X
{Humor {Techniques}: {From} {Real} {World} and {Game} {Environments} to {Smart} {Environments}},X,-,-,-,X
{Lessons from {Practicing} an {Adapted} {Model} {Driven} {Approach} in {Game} {Development}},X,-,-,-,X
{Beats {Down}: {Using} {Heart} {Rate} for {Game} {Interaction} in {Mobile} {Settings}},X,-,-,-,X
{An {Introduction} to {Human} {Computation} and {Games} with a {Purpose}},X,-,-,-,X
{An {Immersive} {Brain} {Painting}: {The} {Effects} of {Brain} {Painting} in a {Virtual} {Reality} {Environment}},X,-,-,-,X
{Involving {Engineers} in {User} {Research} and {User} {Experience} {Design} of {ICT} for {China}},X,-,-,-,X
{Ludic {Educational} {Game} {Creation} {Tool}: {Teaching} {Schoolers} {Road} {Safety}},X,-,-,-,X
{A {Systems} {Approach} for {Augmented} {Reality} {Design}},X,-,-,-,X
{Usability {Evaluation} of a {Wheelchair} {Virtual} {Simulator} {Controlled} by a {Brain}-{Computer} {Interface}: {Lessons} {Learned} to the {Design} {Process}},X,-,-,-,X
{A {Framework} {Concept} for {Emotion} {Enriched} {Interfaces}},X,-,-,-,X
{A {Feature}-{Based} {Approach} to {Develop} {Digital} {Board} {Games}},X,-,-,-,X
{Using {Behavioral} {Indicators} to {Assess} {Competences} in a {Sustainable} {Manufacturing} {Learning} {Scenario}},X,-,-,-,X
{Design of a {Robotic} {Workmate}},X,-,-,-,X
{Virtual {Reality} {Training} to {Enhance} {Motor} {Skills}},X,-,-,-,X
{Optimizing {Virtual} {Reality} {Eye} {Tracking} {Fixation} {Algorithm} {Thresholds} {Based} on {Shopper} {Behavior} and {Age}},X,-,-,-,X
{What {Makes} for {Successful} {Game} {Storytelling}? {A} {Model} for {Evaluating} {Game}-{Adaptability} of {Stories} in {China}},X,-,-,-,X
{Brain {Controlled} {Interface} {Log} {Analysis} in {Real} {Time} {Strategy} {Game} {Matches}},X,-,-,-,X
{Eye {Contact}: {Gaze} as a {Connector} {Between} {Spectators} and {Players} in {Online} {Games}},X,-,-,-,X
{Persistent {Human} {Control} in a {Reservation}-{Based} {Autonomous} {Intersection} {Protocol}},X,-,-,-,X
{Comparison of {Pedestrians}’ {Gap} {Acceptance} {Behavior} {Towards} {Automated} and {Human}-{Driven} {Vehicles}},X,-,-,-,X
{From {Usability} to {Playability}: {Introduction} to {Player}-{Centred} {Video} {Game} {Development} {Process}},X,-,-,-,X
{Examination of {Effectiveness} of a {Performed} {Procedural} {Task} {Using} {Low}-{Cost}  {Peripheral} {Devices} in {VR}},X,-,-,-,X
{Hoverboard: {A} {Leap} to the {Future} of {Locomotion} in {VR}!?},X,-,-,-,X
{Augmented {Reality} for {City} {Planning}},X,-,-,-,X
{{STEAM}-{X}: {An} {Exploratory} {Study} {Adding} {Interactive} {Physical} {Activity} to the {STEAM} {Model}},X,-,-,-,X
{A {Multitouch} {Drawing} {Application} with {Occlusion}-{Free} {Interaction} {Strategies}},X,-,-,-,X
{Touchless {Text} {Entry} for {All}: {Initial} {Design} {Considerations} and {Prototypes}},X,-,-,-,X
{A {Collaborative} {Virtual} {Game} to {Support} {Activity} and {Social} {Engagement} for {Older} {Adults}},X,-,-,-,X
{An {Immersive} {Virtual} {Reality} {Exergame} for {People} with {Parkinson}’s {Disease}},X,-,-,-,X
{A {Novel} {Mixed} {Reality} {Navigation} {System} for {Laparoscopy} {Surgery}},X,-,-,-,X
{Virtual {Reality} {Interaction} {Techniques} for {Individuals} with {Autism} {Spectrum} {Disorder}},X,-,-,-,X
"{Creating an {Online} {Escape} {Room} {Game} for {Older} {Adults}: {Needs} {Assessment}, {Design} {Process}, and {Usability} {Testing}}",X,-,-,-,X
{An {Indirect} {Measure} of the {Implicit} {Level} of {Presence} in {Virtual} {Environments}},X,-,-,-,X
{A {Game}-like {Application} for {Dance} {Learning} {Using} a {Natural} {Human} {Computer} {Interface}},X,-,-,-,X
{A {Method} of {Evaluating} {User} {Visual} {Attention} to {Moving} {Objects} in {Head} {Mounted} {Virtual} {Reality}},X,-,-,-,X
{Segmentation of {Areas} of {Interest} {Inside} a {Virtual} {Reality} {Store}},X,-,-,-,X
{Methodology for {Detection} of {ERD}/{ERS} {EEG} {Patterns} {Produced} by {Cut} {Events} in {Film} {Fragments}},X,-,-,-,X
{Designing {Affordances} for {Virtual} {Reality}-{Based} {Services} with {Natural} {User} {Interaction}},X,-,-,-,X
{User {Experience} and {Map} {Design} for {Wayfinding} in a {Virtual} {Environment}},X,-,-,-,X
{Methodology for {Detection} of {ERD}/{ERS} {EEG} {Patterns} {Produced} by {Cut} {Events} in {Film} {Fragments}},X,-,-,X,X
{From {Usability} to {Playability}: {Introduction} to {Player}-{Centred} {Video} {Game} {Development} {Process}},X,-,-,X,X
{Segmentation of {Areas} of {Interest} {Inside} a {Virtual} {Reality} {Store}},X,-,-,X,X
{An {Indirect} {Measure} of the {Implicit} {Level} of {Presence} in {Virtual} {Environments}},X,-,-,X,X
{A {Multitouch} {Drawing} {Application} with {Occlusion}-{Free} {Interaction} {Strategies}},X,-,-,X,X
{Comparison of {Pedestrians}’ {Gap} {Acceptance} {Behavior} {Towards} {Automated} and {Human}-{Driven} {Vehicles}},X,-,-,X,X
{A {Game}-like {Application} for {Dance} {Learning} {Using} a {Natural} {Human} {Computer} {Interface}},X,-,-,X,X
{A {Novel} {Mixed} {Reality} {Navigation} {System} for {Laparoscopy} {Surgery}},X,-,-,X,X
{{STEAM}-{X}: {An} {Exploratory} {Study} {Adding} {Interactive} {Physical} {Activity} to the {STEAM} {Model}},X,-,-,X,X
{Augmented {Reality} for {City} {Planning}},X,-,-,X,X
"{Creating an {Online} {Escape} {Room} {Game} for {Older} {Adults}: {Needs} {Assessment}, {Design} {Process}, and {Usability} {Testing}}",X,-,-,X,X
{User {Experience} and {Map} {Design} for {Wayfinding} in a {Virtual} {Environment}},X,-,-,X,X
{A {Collaborative} {Virtual} {Game} to {Support} {Activity} and {Social} {Engagement} for {Older} {Adults}},X,-,-,X,X
{Designing {Affordances} for {Virtual} {Reality}-{Based} {Services} with {Natural} {User} {Interaction}},X,-,-,X,X
{Touchless {Text} {Entry} for {All}: {Initial} {Design} {Considerations} and {Prototypes}},X,-,-,X,X
{Hoverboard: {A} {Leap} to the {Future} of {Locomotion} in {VR}!?},X,-,-,X,X
{Virtual {Reality} {Interaction} {Techniques} for {Individuals} with {Autism} {Spectrum} {Disorder}},X,-,-,X,X
{An {Immersive} {Virtual} {Reality} {Exergame} for {People} with {Parkinson}’s {Disease}},X,-,-,X,X
{Examination of {Effectiveness} of a {Performed} {Procedural} {Task} {Using} {Low}-{Cost}  {Peripheral} {Devices} in {VR}},X,-,-,X,X
{A {Method} of {Evaluating} {User} {Visual} {Attention} to {Moving} {Objects} in {Head} {Mounted} {Virtual} {Reality}},X,-,-,X,X
{Bridging {Conceptual} {Models} and {Architectural} {Interchange} for {Adaptive} {Instructional} {Systems}},X,-,-,-,X
{Remote {Touch}: {Humanizing} {Social} {Interactions} in {Technology} {Through} {Multimodal} {Interfaces}},X,-,-,-,X
{Can {Virtual} {Humans} {Be} {More} {Engaging} {Than} {Real} {Ones}?},X,-,-,-,X
{Dementia: {I} {Am} {Physically} {Fading}. {Can} {Virtual} {Reality} {Help}? {Physical} {Training} for {People} with {Dementia} in {Confined} {Mental} {Health} {Units}},X,-,-,-,X
{Modding as {Rating} {Behavior} in {Virtual} {Communities}: {The} {Case} of {Rooster} {Teeth} {Productions}},-,-,-,-,X
{E-{Learning} and {Serious} {Games}},X,-,-,-,X
{A {Novel} {Virtual} {Reality} {Driving} {Environment} for {Autism} {Intervention}},X,-,-,-,X
{Hang in {There}: {A} {Novel} {Body}-{Centric} {Interactive} {Playground}},X,-,-,-,X
{Utilizing {Digital} {Game} {Environments} for {Training} {Prosthetic} {Use}},X,-,-,-,X
{Virtual {Business} {Role}-{Play}: {Leveraging} {Familiar} {Environments} to {Prime} {Stakeholder} {Memory} {During} {Process} {Elicitation}},X,-,-,-,X
{The {Design} of an {Interactive} {Stroke} {Rehabilitation} {Gaming} {System}},X,-,-,-,X
{Deriving {Features} for {Designing} {Ambient} {Media}},X,-,-,-,X
{Quantitative {Modal} {Transition} {Systems}},X,-,-,-,X
{Validation of a {Sorting} {Task} {Implemented} in the {Virtual} {Multitasking} {Task}-2 and {Effect} of {Aging}},-,-,-,-,X
{Investigating {Visitor} {Engagement} in {Interactive} {Science} {Museum} {Exhibits} with {Multimodal} {Bayesian} {Hierarchical} {Models}},X,-,-,-,X
{A {Reliable} and {Inexpensive} {Integration} of {Virtual} {Reality} and {Digital} {Human} {Modelling} to {Estimate} {Cervical} {Spine} {Function}},X,-,-,-,X
{“{I} {Went} to {America} to {See} {Ancient} {Italian} {Paintings}”: {The} {Problem} of the {Re}-contextualization of {Artworks} {Uprooted} from {Their} {Original} {Settings}},X,-,-,-,X
{{3D} {Virtual} {World} {BPM} {Training} {Systems}: {Process} {Gateway} {Experimental} {Results}},X,-,-,-,X
{Interaction {Techniques} for {Immersive} {CT} {Colonography}: {A} {Professional} {Assessment}},X,-,-,-,X
{Cooperative {Robotic} {Gamma} {Imaging}: {Enhancing} {US}-guided {Needle} {Biopsy}},X,-,-,-,X
{Exploring {Cultural} {Heritage} {Using} {Augmented} {Reality} {Through} {Google}’s {Project} {Tango} and {ARCore}},X,-,-,-,X
{Three {Technologies} for {Automated} {Trading}},X,-,-,-,X
{A {Computerized} {Measurement} of {CROM} ({Cervical} {Range} of {Motion}) by {Using} {Smartphone} {Based} {HMD} ({Head} {Mounted} {Display})},X,-,-,-,X
"{Total {Immersion}: {Designing} for {Affective} {Symbiosis}  in a {Virtual} {Reality} {Game} with {Haptics}, {Biosensors},  and {Emotive} {Agents}}",X,-,-,-,X
{{PaolaChat}: {A} {Virtual} {Agent} with {Naturalistic} {Breathing}},X,-,-,-,X
{An {Immersive} {Virtual} {Reality} {Experience} for {Learning} {Spanish}},X,-,-,-,X
{Affective {Communication} {Enhancement} {System} for {Locked}-{In} {Syndrome} {Patients}},X,-,-,-,X
{Yuri {Game}: {Romance} and {Characterization} in {Gameplay}},X,-,-,-,X
{Modelling {Playful} {User} {Interfaces} for {Hybrid} {Games}},X,-,-,-,X
{Evaluating {Hedonic} and {Eudaimonic} {Motives} in {Human}-{Computer} {Interaction}},X,-,-,-,X
{Generating {Training} {Images} {Using} a {3D} {City} {Model} for {Road} {Sign} {Detection}},X,-,-,-,X
{Pedagogical-{Agent} {Learning} {Companions} in a {Virtual} {Reality} {Educational} {Experience}},X,-,-,-,X
{Weapon {Detection} for {Particular} {Scenarios} {Using} {Deep} {Learning}},-,-,-,-,X
{Gesture-{Based} Ιnteraction: {Visual} {Gesture} {Mapping}},X,-,-,-,X
{Guidance {Is} {Good} or {Avoid} {Too} {Much} {Hand}-{Holding}? {Proposing} a {Controlled} {Experiment} on the {Impact} of {Clear} {Proximal} {Goals} on {Digital} {Game} {Enjoyment}},X,-,-,-,X
{{CHARM}: {Cord}-{Based} {Haptic} {Augmented} {Reality} {Manipulation}},X,-,-,-,X
{{RICHIE}: {A} {Step}-by-step {Navigation} {Widget} to {Enhance} {Broad} {Hierarchy} {Exploration} on {Handheld} {Tactile} {Devices}},X,-,-,-,X
{A {Serious}-{Game} {Framework} to {Improve} {Physician}/{Nurse} {Communication}},X,-,-,-,X
{Development of a {Digital} {Platform} {Based} on the {Integration} of {Augmented} {Reality} and {BIM} for the {Management} of {Information} in {Construction} {Processes}},X,-,-,-,-
{Hampa: {Solver}-{Aided} {Recency}-{Aware} {Replication}},X,-,-,-,-
{Towards {Co}-designing with {Users}: {A} {Mixed} {Reality} {Tool} for {Kansei} {Engineering}},-,-,-,-,X
{Kinect-{Sign}: {Teaching} {Sign} {Language} to “{Listeners}” through a {Game}},X,-,-,-,-
{Innovative {Educational} {Technology} for {Special} {Education} and {Usability} {Issues}},X,-,-,-,-
{User {Perceptions} of a {Virtual} {Human} {Over} {Mobile} {Video} {Chat} {Interactions}},X,-,-,-,-
{A {Game} {System} for {Learning} {Mathematics} with {Pacing} {Considering} {Individual} {Motivation} and {Feeling}},X,-,-,-,-
{{EEG}-{Based} {Personalized} {Digital} {Experience}},X,-,-,-,-
{Exploring {Deep} {Content} in {Physical} {Rehabilitation} {Games}},X,-,-,-,-
{Towards a {Mixed} {Reality} {Assistance} {System} for the {Inspection} {After} {Final} {Car} {Assembly}},X,-,-,-,-
{Can {Virtual} {Reality} {Increase} {Emotional} {Responses} ({Arousal} and {Valence})? {A} {Pilot} {Study}},X,-,-,-,-
{What to {Be} {Disclosed}? {Attributes} of {Online} {Games} for the {Market} {Transparency} {Policy}},X,-,-,-,-
{Interactive {Point} {System} {Supporting} {Point} {Classification} and {Spatial} {Visualization}},X,-,-,-,-
{{VREye}: {Exploring} {Human} {Visual} {Acuity} {Test} {Using} {Virtual} {Reality}},X,-,-,-,-
{Proposal of {Perception} {Method} of {Existence} of {Objects} in {3D} {Space} {Using} {Quasi}-electrostatic {Field}},X,-,-,-,-
{{AR}-{Based} {Mobile} {Applications} for {Exposure} {Therapy}},X,-,-,-,-
{Evolution of a {Laboratory} for {Design} of {Advanced} {Ship} {Bridges}},X,-,-,-,-
{Holographic {Humans}},X,-,-,-,-
{Early {Prototype} {Assessment} of a {New} {Virtual} {System} for {Training} {Procedural} {Skills} of {Automotive} {Service} {Operators}: {LARTE} {Tool}},X,-,-,-,-
{Questing {Ruins}: {A} {Game} for a {Digital} {Inclusion}},X,-,-,-,-
{Practical {Requirements} for {ITS} {Authoring} {Tools} from a {User} {Experience} {Perspective}},X,-,-,-,-
{Design of a {Decision}-{Making} {Task} for a {Collaborative} {Brain}-{Computer} {Interface} {System} {Based} on {Emotiv} {EEG}},X,-,-,-,-
{The {Pulse} {Breath} {Water} {System}: {Exploring} {Breathing} as an {Embodied} {Interaction} for {Enhancing} the {Affective} {Potential} of {Virtual} {Reality}},X,-,-,-,-
