Document Title,EC1,EC2,EC3,EC4,EC5
Exploring the Effects of Self-correction Behavior of an Intelligent Virtual Character during a Jigsaw Puzzle Co-solving Task,X,-,-,-,-
RemoteLab: A VR Remote Study Toolkit,X,-,-,-,-
Efforts Towards a Digital Twin-based Testbed for Public Safety,X,-,-,-,-
Less Is More: Learning from Synthetic Data with Fine-Grained Attributes for Person Re-Identification,X,-,-,-,-
Space-adaptive Artwork Placement Based on Content Similarities for Curating Thematic Spaces in a Virtual Museum,X,-,-,-,-
Design and Implementation of a Game Session Plugin based on Unreal Engine,-,-,-,-,X
A Comparative Study of Two Marker-Based Mobile Augmented Reality Applications for Solving 3D Anamorphic Illusion Puzzles,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 Educator's Forum,X,-,-,-,-
Enhancing Museum Experience with VR by Situating 3D Collections in Contex,X,-,-,-,-
Quest Driven Spatial Songs: Exploring how narrative structures of Quests in Games can be mapped onto songs.,X,-,-,-,-
Down the Rabbit Hole: Experiencing Alice in Wonderland Syndrome through Virtual Reality,X,-,-,-,-
XR Immersion for teaching and learning with precise visualization in user perspective,X,-,-,-,-
"Collaborating with my Doppelg\""anger: The Effects of Self-similar Appearance and Voice of a Virtual Character during a Jigsaw Puzzle Co-solving Task",X,-,-,-,-
"Demonstrating HUGO, a High-Resolution Tactile Emulator for Complex Surfaces",X,-,-,-,-
Location-Aware Adaptation of Augmented Reality Narratives,X,-,-,-,-
SIGGRAPH '23: ACM SIGGRAPH 2023 Educator's Forum,X,-,-,-,-
Designing Hand-held Controller-based Handshake Interaction in Social VR and Metaverse,X,-,-,-,-
Effects of Human and Animal Partner-Avatars on Profile Memory in Virtual Reality,X,-,-,-,-
Ecosystems of indie porn game development: co-dependent partial organisations,X,-,-,-,-
DoubleAUG: Single-domain Generalized Object Detector in Urban via Color Perturbation and Dual-style Memory,X,-,-,-,-
Perceiving Absolute Distance in Augmented Reality Displays with Realistic and Non-realistic Shadows,X,-,-,-,-
Measurement of cloud-based game streaming system response to competing TCP cubic or TCP BBR flows,X,-,-,-,-
CollageVis: Rapid Previsualization Tool for Indie Filmmaking using Video Collages,X,-,-,-,-
BioLumin: An Immersive Mixed Reality Experience for Interactive Microscopic Visualization and Biomedical Research Annotation,X,-,-,-,-
RE Methods for Virtual Reality Software Product Development: A Mapping Study,X,-,-,-,-
Game accessibility: Adaptation of a digital escape room game to improve spatial cognitive skills on blind people,X,-,-,-,-
A Novel Procedural Content Generation Algorithm for Tower Defense Games,X,-,-,-,-
Exploring the Acceptability of HELP-XR among Instructors: A Tool for XR Pedagogical Content Creation,X,-,-,-,-
Poster: Virtual Reality Exergame for Upper Extremity Rehabilitation Using Smart Wearable Sensors,X,-,-,-,-
Interdisciplinary Project-Driven Learning in Game Design and Development,X,-,-,-,-
The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,X,-,-,-,-
Metaverse as a Service: Megascale Social 3D on the Cloud,X,-,-,-,-
"ImmerCom '23: Proceedings of the 1st ACM Workshop on Mobile Immersive Computing, Networking, and Systems",X,-,-,-,-
Eye Strokes: An Eye-gaze Drawing System for Mandarin Characters,X,-,-,-,-
System Design for an Integrated Lifelong Reinforcement Learning Agent for Real-Time Strategy Games,X,-,-,-,-
Gamified Virtual Reality for Computational Thinking,X,-,-,-,-
Speculative Game Design of Asymmetric Cooperative Games to Study Human-Machine Teaming,X,-,-,-,-
End-user Game Development Environments for Educators: Analyzing Platforms,X,-,-,-,-
TAT VR: a Virtual Reality Simulator for Military Shooting Training,X,-,-,-,-
"GAS '22: Proceedings of the 6th International ICSE Workshop on Games and Software Engineering: Engineering Fun, Inspiration, and Motivation",X,-,-,-,-
Procedural Rhythm Game Generation in Virtual Reality,X,-,-,-,-
InsectVR: Simulating Crawling Insects in Virtual Reality for Biology Edutainment,X,-,-,-,-
On Efficient Reinforcement Learning for Full-length Game of StarCraft II,X,-,-,-,-
Enhancing Non-Player Characters in Unity 3D using GPT-3.5,-,-,-,-,-
SmartFunction: An Immersive Vr System To Assess Attention Using Embodied Cognition,X,-,-,-,-
"CUBE: Conversational User-Interface-Based Embodiment: Developing a Digital Humans Embodiment for Conversational Agents: Design, Implementation, and Integration Challenges",X,-,-,-,-
Unified Co-Simulation Framework for Autonomous UAVs,X,-,-,-,-
VR-Based Teleoperation of Autonomous Vehicles for Operation Recovery,X,-,-,-,-
Illusory: A Non-Euclidian Concept Adoption in a 3D Puzzle Game,X,-,-,-,-
Mixed Reality Smart Glasses for Local Cultural Learning: A Case Representation of Kavalan Traditional Culture,X,-,-,-,-
Heat Simulation on Meshless Crafted-Made Shapes,X,-,-,-,-
LITAR: Visually Coherent Lighting for Mobile Augmented Reality,X,-,-,-,-
SIGGRAPH Courses '24: ACM SIGGRAPH 2024 Courses,X,-,-,-,-
Influence of hand representation on a grasping task in augmented reality,X,-,-,-,-
SLE 2023: Proceedings of the 16th ACM SIGPLAN International Conference on Software Language Engineering,X,-,-,-,-
SIGGRAPH '23: ACM SIGGRAPH 2023 Posters,X,-,-,-,-
Using Augmented Reality Book as a Learning Material for Kindergarten Pupils in the Field of Science,X,-,-,-,-
DianTea:Designing and Evaluating an Immersive Virtual Reality Game to Enhance Youth Tea Culture Learning,X,-,-,-,-
Design and Think-Aloud Study of an Immersive Interface for Training Health Professionals in Clinical Skills,X,-,-,-,-
Research on the application of AR technology in reconstructing the digital presentation of urban identity,X,-,-,-,-
Utilizing Virtual Reality in Higher Education Marketing through Open-Source and Open-Educational Software,X,-,-,-,-
Extracting Threat Intelligence From Cheat Binaries For Anti-Cheating,X,-,-,-,-
Keep Your Eyes on the Target: Enhancing Immersion and Usability by Designing Natural Object Throwing with Gaze-based Targeting,X,-,-,-,-
SIGGRAPH '23: ACM SIGGRAPH 2023 Talks,X,-,-,-,-
Virtual Reality Point Cloud Annotation,X,-,-,-,-
Evolving Potential Fields for Rules of the Road Compliant Ship Driving,X,-,-,-,-
Game Development as Project-Based Learning: Synthesizing Postmortems of Student-Created Mobile Games,X,-,-,-,-
ICVARS '24: Proceedings of the 2024 8th International Conference on Virtual and Augmented Reality Simulations,X,-,-,-,-
Scaffolding CS1 Courses with a Large Language Model-Powered Intelligent Tutoring System,X,-,-,-,-
LifeChair-X Posture Based Gaming using an IoT Cushion and Serious Game for Workplace Wellness,X,-,-,-,-
ZoAM GameBot: a Journey to the Lost Computational World in the Amazonia,X,-,-,-,-
GlassBoARd: A Gaze-Enabled AR Interface for Collaborative Work,X,-,-,-,-
Comparative Effectiveness of an Omnidirectional Treadmill versus Natural Walking for Navigating in Virtual Environments,X,-,-,-,-
Googly Eyes: Displaying User's Eyes on a Head-Mounted Display for Improved Nonverbal Communication,X,-,-,-,-
LapGym: an open source framework for reinforcement learning in robot-assisted laparoscopic surgery,X,-,-,-,-
ArticuMotion: Towards Assessing Motor Speech Disorders via Gamification,X,-,-,-,-
Interactive Evolutionary Computation for Strategy Discovery in Multi-Phase Operations,X,-,-,-,-
Inter-Pupillary Distance Mismatch Does Not Affect Distance Perception in Action Space,X,-,-,-,-
ARFit: Pose-based Exercise Feedback with Mobile AR,X,-,-,-,-
Immersive visualization for ecosystem services analysis,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 Courses,X,-,-,-,-
When Realities Interweave: Exploring the Design Space of Immersive Tangible XR,X,-,-,-,-
Immerse Yourself in a Fight Against your Fears: A Vision for using Virtual Reality Serious Games and Physiology Assessment in Phobia Treatment,X,-,-,-,-
SoundVizVR: Sound Indicators for Accessible Sounds in Virtual Reality for Deaf or Hard-of-Hearing Users,X,-,-,-,-
Palette-PrintAR: augmented reality design and simulation for multicolor resin 3D printing,X,-,-,-,-
Virtual Triplets: Human-Agent Shared Control of Virtual Avatars,X,-,-,-,-
DungeonMaker: Embedding Tangible Creation and Destruction in Hybrid Board Games through Personal Fabrication Technology,X,-,-,-,-
"Dynamic Theater: Location-Based Immersive Dance Theater, Investigating User Guidance and Experience",X,-,-,-,-
Towards More Accurate Help: Informing Teachers how to Support NDD Children by Serious Games and Eye Tracking Technologies,X,-,-,-,-
QuickCSGModeling: Quick CSG Operations Based on Fusing Signed Distance Fields for VR Modeling,X,-,-,-,-
Scalable MDC-Based Volumetric Video Delivery for Real-Time One-to-Many WebRTC Conferencing,X,-,-,-,-
Creative NFT-Copyrighted AR Face Mask Authoring Using Unity3D Editor,X,-,-,-,-
ExtEdge: Haptic Augmentation of Visual Experiences of a Smartphone by Electro-Tactile Sensation Through the Edges,X,-,-,-,-
"Gamify 2022: Proceedings of the 1st International Workshop on Gamification of Software Development, Verification, and Validation",X,-,-,-,-
StoryWorld: Procedural Quest Generation Rooted in Variety &amp; Believability,X,-,-,-,-
FlavoMetrics: Towards a Digital Tool to Understand and Tune Living Aesthetics of Flavobacteria,X,-,-,-,-
Evaluating the benefits of software product lines in game software engineering,X,-,-,-,-
Study on the Recent Development of Metaverse Application in College Teaching,X,-,-,-,-
A Teleoperation Framework for Robots Utilizing Control Barrier Functions in Virtual Reality,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 Technical Communications,X,-,-,-,-
DirActor: Creating Interaction Illustrations by Oneself through Directing and Acting Simultaneously in VR,X,-,-,-,-
BlockList: A Game to Teach Basic Linked Lists Operations To Novice Programmers,X,-,-,-,-
AmplifiedCoaster: Virtual Roller Coaster Experience using Motorized Ramps and Personal Mobility Vehicle,X,-,-,-,-
A Mixed Reality Platform for Collaborative Technical Assembly Training,X,-,-,-,-
Securing Cross Reality: Unraveling the Risks of 3D Object Disguise on Head Mount Display,X,-,-,-,-
The View from MARS: Empowering Game Stream Viewers with Metadata Augmented Real-time Streaming,X,-,-,-,-
Using Gaze Transition Entropy to Detect Classroom Discourse in a Virtual Reality Classroom,X,-,-,-,-
Comparing the Agency of Hybrid Meeting Remote Users in 2D and 3D Interfaces of the Hybridge System,X,-,-,-,-
Cell Space: Augmented Awareness of Intercorporeality,X,-,-,-,-
Exploring the impact of VR and embodiment on environmental literacy,X,-,-,-,-
Bug localization in game software engineering: evolving simulations to locate bugs in software models of video games,X,-,-,-,-
pARam: Leveraging Parametric Design in Extended Reality to Support the Personalization of Artifacts for Personal Fabrication,X,-,-,-,-
Generative Personas That Behave and Experience Like Humans,X,-,-,-,-
"Join Me Here if You Will: Investigating Embodiment and Politeness Behaviors When Joining Small Groups of Humans, Robots, and Virtual Characters",X,-,-,-,-
It’s Me: VR-based Journaling for Improved Cognitive Self-Regulation,X,-,-,-,-
Carbon Rebellion: Empowerment using Data-Driven Narratives,X,-,-,-,-
CoEditAR: A Framework for Collaborative Interaction in WebXR-enabled Spatial Computing,X,-,-,-,-
Interactive Latent Variable Evolution for the Generation of Minecraft Structures,X,-,-,-,-
Promotypes - Prototyping Games for a University Game Production Pipeline,X,-,-,-,-
TactTongue: Prototyping ElectroTactile Stimulations on the Tongue,X,-,-,-,-
Demonstrating Adaptive Many-to-Many Immersive Teleconferencing for Volumetric Video,X,-,-,-,-
Haptic Interaction Module for VR Fishing Leisure Activity,X,-,-,-,-
Closing the Loop: The Effects of Biofeedback Awareness on Physiological Stress Response Using Electrodermal Activity in Virtual Reality,X,-,-,-,-
PredART: Towards Automatic Oracle Prediction of Object Placements in Augmented Reality Testing,X,-,-,-,-
"""\""It patted my arm\"": Investigating Social Touch from a Virtual Agent""",X,-,-,-,-
Mobile Robots Meet Augmented Reality Technologies: Transforming Human-Robot Interaction in Industry 4.0 Scenarios,X,-,-,-,-
VRhook: A Data Collection Tool for VR Motion Sickness Research,X,-,-,-,-
The Many Faces of Monetisation: Understanding the Diversity and Extremity of Player Spending in Mobile Games via Massive-scale Transactional Analysis,X,-,-,-,-
Deimos: A Grammar of Dynamic Embodied Immersive Visualisation Morphs and Transitions,X,-,-,-,-
Exploring Optimal eHMI Display Location for Various Vehicle Types: A VR User Study,X,-,-,-,-
Towards a History of Finnish and Swedish Game Industry Platforms,X,-,-,-,-
Virtual Reality Environment for Surgical Skills Practice for Medical Students,X,-,-,-,-
Lullaland: A Multisensory Virtual Reality Experience to Reduce Stress,X,-,-,-,-
Case Study: End users in recovery from substance use disorders as designers and developers of digital games with therapeutic potential,X,-,-,-,-
"HUGO, a High-Resolution Tactile Emulator for Complex Surfaces",X,-,-,-,-
Surveyor: Facilitating Discovery Within Video Games for Blind and Low Vision Players,X,-,-,-,-
Choreographing in VR: Introducing ‘Substitute Performers’ as Informants in the Choreographic Process,X,-,-,-,-
Gamification of cybersecurity training,X,-,-,-,-
One Size Does Not Fit All: Designing and Evaluating Criticality-Adaptive Displays in Highly Automated Vehicles,X,-,-,-,-
UmeTrack: Unified multi-view end-to-end hand tracking for VR,X,-,-,-,-
Audiodice: an open hardware design of a distributed dodecahedron loudspeaker orchestra,X,-,-,-,-
"Leveraging Virtual Reality to Enhance Diversity, Equity and Inclusion training at Google",X,-,-,-,-
Evolutionary Tabletop Game Design: A Case Study in the Risk Game,X,-,-,-,-
Plane Segmentation in Outdoor Imagery: Unsupervised Training Using Synthetic Data,X,-,-,-,-
Monitoring Muscle Engagement via Electrical Impedance Tomography for Unsupervised Physical Rehabilitation,X,-,-,-,-
VR Job Interview Using a Gender-Swapped Avatar,X,-,-,-,-
Outside In: Creating Digital Nature Tailored To The Needs of Intensive Care Unit Patients,X,-,-,-,-
Bimanual Interactions for Surfacing Curve Networks in VR,X,-,-,-,-
Combining Functional and Automata Synthesis to Discover Causal Reactive Programs,X,-,-,-,-
What makes a game high-rated? towards factors of video game success,X,-,-,-,-
Collision avoidance behaviours of young adult walkers: Influence of a virtual pedestrian's age-related appearance and gait profile,X,-,-,-,-
Generating Emotionally Expressive Look-At Animation,X,-,-,-,-
TiZero: Mastering Multi-Agent Football with Curriculum Learning and Self-Play,X,-,-,-,-
Designing for Human Operations on the Moon: Challenges and Opportunities of Navigational HUD Interfaces,X,-,-,-,-
"Matching auditory and visual room size, distance, and source orientation in virtual reality",X,-,-,-,-
The effect of culture in educational games for school students,X,-,-,-,-
Circulation in Virtual Media Architecture: Exploring the Spatial Logic of a Continuous Circulation Space,X,-,-,-,-
Augmented Reality in Service of Human Operations on the Moon: Insights from a Virtual Testbed,X,-,-,-,-
AVI '24: Proceedings of the 2024 International Conference on Advanced Visual Interfaces,X,-,-,-,-
Enhancing VR Gaming Experience using Computational Attention Models and Eye-Tracking,X,-,-,-,-
Collaborative Scenario Builder: A VR Co-Design Tool for Medical First Responders,X,-,-,-,-
Real-Time Ray-Tracing with Vulkan for the Impatient,X,-,-,-,-
Influence of Multi-Modal Interactive Formats on Subjective Audio Quality and Exploration Behavior,X,-,-,-,-
A3Cplus: Efficient Anatomically Accurate Avatar Creation,X,-,-,-,-
A Comprehensive User Study on Augmented Reality-Based Data Collection Interfaces for Robot Learning,X,-,-,-,-
SAP '24: ACM Symposium on Applied Perception 2024,X,-,-,-,-
Digital Cultural Items in Space: The Impact of Contextual Information on Presenting Digital Cultural Items,X,-,-,-,-
Drawing Connections: Designing Situated Links for Immersive Maps,X,-,-,-,-
Towards Situation Awareness and Attention Guidance in a Multiplayer Environment using Augmented Reality and Carcassonne,X,-,-,-,-
ICVARS '23: Proceedings of the 2023 7th International Conference on Virtual and Augmented Reality Simulations,X,-,-,-,-
Web3D '23: Proceedings of the 28th International ACM Conference on 3D Web Technology,X,-,-,-,-
Sleep No Mosquitoes: Compensating Distance-Aware Compression in a VR Audio Game,X,-,-,-,-
CamTroller: An Auxiliary Tool for Controlling Your Avatar in PC Games Using Natural Motion Mapping,X,-,-,-,-
Personalized Quest and Dialogue Generation in Role-Playing Games: A Knowledge Graph- and Language Model-based Approach,X,-,-,-,-
Web3D '22: Proceedings of the 27th International Conference on 3D Web Technology,X,-,-,-,-
Development of an Immersive Visualisation System for the 3D Learning of Complex Rock Structures,X,-,-,-,-
Development and Application of a Simplified Bite Force Measuring Device,X,-,-,-,-
Measuring Variations in Workload during Human-Robot Collaboration through Automated After-Action Reviews,X,-,-,-,-
AG3: Automated Game GUI Text Glitch Detection Based on Computer Vision,X,-,-,-,-
FDG '24: Proceedings of the 19th International Conference on the Foundations of Digital Games,X,-,-,-,-
Frapp\'e: An Ultra Lightweight Mobile UI Framework for Rapid API-based Prototyping and Environmental Deployment,X,-,-,-,-
Embodied Telepresent Connection (ETC): Exploring Virtual Social Touch Through Pseudohaptics,X,-,-,-,-
"Effect of Physical and Virtual Operations Sequences on Students’ Knowledge Acquisition, Learning Motivation, Engagement, and Cognitive Load in a C-STEAM Project",X,-,-,-,-
De-anonymizing VR Avatars using Non-VR Motion Side-channels,X,-,-,-,-
Virtual Therapy Exergame for Upper Extremity Rehabilitation Using Smart Wearable Sensors,X,-,-,-,-
MoodGems: Designing for the Well-being of Children with ADHD and their Families at Home,X,-,-,-,-
Portobello: Extending Driving Simulation from the Lab to the Road,X,-,-,-,-
Sphere Saber: A Virtual Reality Exergame to Study Age-Related Differences in Selective Visual Attention and Information Processing,X,-,-,-,-
Use of XR technologies for fostering visitors' experience and inclusion at industrial museums,X,-,-,-,-
Tutorial Level Design Guidelines for 2D Fighting Games,X,-,-,-,-
Practical Inference of Nullability Types,X,-,-,-,-
AMD Journee: A Patient Co-designed VR Experience to Raise Awareness Towards the Impact of AMD on Social Interactions,X,-,-,-,-
Novel Paradigms of Human-Fashion Interaction,X,-,-,-,-
Garnish into Thin Air,X,-,-,-,-
Towards Pedagogical Conversational Agents as Creativity Drivers in Virtual Worlds,X,-,-,-,-
ArmDeformation: Inducing the Sensation of Arm Deformation in Virtual Reality Using Skin-Stretching,X,-,-,-,-
Impact of BCI-Informed Visual Effect Adaptation in a Walking Simulator,X,-,-,-,-
Socially Interactive Agent Dialogue,X,-,-,-,-
Hack the Room: Exploring the potential of an augmented reality game for teaching cyber security,X,-,-,-,-
Personalized Motion Analysis with Consideration of Body Segment Shapes,X,-,-,-,-
Cross-cultural Online Game Jams: Fostering cultural competencies through jams in game education setting,X,-,-,-,-
A Virtual Environment for Emergency Ultrasound Training during Cardiopulmonary Resuscitation,X,-,-,-,-
Teleoperation of a Fast Omnidirectional Unmanned Ground Vehicle in the Cyber-Physical World via a VR Interface,X,-,-,-,-
Training-Free Neural Matte Extraction for Visual Effects,X,-,-,-,-
Development and application of electric power subject training system based on virtual reality technology,X,-,-,-,-
Human perception of swarm fragmentation,X,-,-,-,-
Bodyweight Exercise based Exergame to Induce High Intensity Interval Training,X,-,-,-,-
Mixed Reality Equipment Training: A Pilot Study Exploring the Potential Use of Mixed Reality to Train Users on Technical Equipment,X,-,-,-,-
Towards Edge-Cloud Architectures for Personal Protective Equipment Detection,X,-,-,-,-
MEDUSA - A View-Tracking Pong Game,X,-,-,-,-
“Presence” and “Empathy” — Design and Implementation Emotional Interactive Storytelling for Virtual Character,X,-,-,-,-
Mixed Reality-based Exergames for Upper Limb Robotic Rehabilitation,X,-,-,-,-
Visual Rehabilitation for Learning Disorders in Virtual Reality: Visual Rehabilitation for Learning Disorder in VR,X,-,-,-,-
Exploring Effective Real-Time Ergonomic Guidance Methods for Immersive Virtual Reality Workspace,X,-,-,-,-
Building Virtual User Interfaces of Household Appliances for Marketing,X,-,-,-,-
FDG '23: Proceedings of the 18th International Conference on the Foundations of Digital Games,X,-,-,-,-
Design and Development Approach for an Interactive Virtual Museum with Haptic Glove Technology,X,-,-,-,-
"MIG '23: Proceedings of the 16th ACM SIGGRAPH Conference on Motion, Interaction and Games",X,-,-,-,-
Motion Control of Interactive Robotic Arms Based on Mixed Reality Development,X,-,-,-,-
The Effects of Avatar and Environment on Thermal Perception and Skin Temperature in Virtual Reality,X,-,-,-,-
Learning Spatial Reasoning in Virtual vs. Physical Games with Robots,X,-,-,-,-
Temple Relief Storytelling using Augmented Reality for Enhanced Engagement with Cultural Heritage Sites,X,-,-,-,-
Virtual Big Heads in Extended Reality: Estimation of Ideal Head Scales and Perceptual Thresholds for Comfort and Facial Cues,X,-,-,-,-
"""\""Hello I am here\"": Proximal Nonverbal Cues Role in Initiating Social Interactions in VR""",X,-,-,-,-
Amaze3D: Making 3D Worlds Accessible to Blind Gamers,-,-,-,-,X
Experiences with Summer Camp Communication via Discord,X,-,-,-,-
Navigating the Virtual Gaze: Social Anxiety's Role in VR Proxemics,X,-,-,-,-
An agent-based approach to automated game testing: an experience report,X,-,-,-,-
Exploring Mid-air Gestural Interfaces for Children with ADHD,X,-,-,-,-
Elevating Stress Levels - Exploring Multimodality for Stress Induction in VR,X,-,-,-,-
Interaction in Social Space,X,-,-,-,-
Prototype of a wearable force-feedback mechanism for free-range immersive experience,X,-,-,-,-
TONIC: A teamwork simulator and digital twin for organizational innovation challenges,X,-,-,-,-
Balancing Human Likeness in Social Robots: Impact on Children’s Lexical Alignment and Self-disclosure for Trust Assessment,X,-,-,-,-
HaptiX: Vibrotactile Haptic Feedback for Communication of 3D Directional Cues,X,-,-,-,-
Customized toolbox in VR Design,X,-,-,-,-
An AR Game for Primary Learners to Safeguard Intangible Cultural Heritage of the Ovahimba Tribe,X,-,-,-,-
What’s my future: a Multisensory and Multimodal Digital Human Agent Interactive Experience,X,-,-,-,-
Following the Master’s Hands: Capturing Piano Performances for Mixed Reality Piano Learning Applications,X,-,-,-,-
Semantic-aware Consistency Network for Cloth-changing Person Re-Identification,X,-,-,-,-
An Exploratory Study on Gender Dysphoria &amp; Character Customisation,X,-,-,-,-
"The Handbook on Socially Interactive Agents: 20 years of Research on Embodied Conversational Agents, Intelligent Virtual Agents, and Social Robotics Volume 2: Interactivity, Platforms, Application",X,-,-,-,-
Gamification-based UML learning environment in virtual reality,X,-,-,-,-
User-Driven Adaptation: Tailoring Autonomous Driving Systems with Dynamic Preferences,X,-,-,-,-
Case study on technological acceptance of autonomous vehicles and the influence of situational awareness: Lane detection in winter conditions,X,-,-,-,-
“I Can Feel It in My Hand”: Exploring Design Opportunities for Tangible Interfaces to Manipulate Artefacts in AR,X,-,-,-,-
Quadropong - Conditions for Mediating Collaborative Interaction in a Co-located Collaborative Digital Game using Multi-Display Composition,X,-,-,-,-
Improve Immersion in Virtual Reality-Based Basketball Training By Haptic Feedback,X,-,-,-,-
The Effect of Latency on Movement Time in Path-steering,X,-,-,-,-
Dominant or Submissive? Exploring Social Perceptions Across the Human-Robot Spectrum,X,-,-,-,-
U-star: an underwater navigation system based on passive 3D optical identification tags,X,-,-,-,-
Investigating Changes in Hand-Eye Coordination and Reaction Time Using a VR Squash Simulation,X,-,-,-,-
A Role Based Model Template for Specifying Virtual Reality Software,X,-,-,-,-
Breathing based immersive interactions for enhanced agency and body awareness: a claustrophobia motivated study,X,-,-,-,-
ImageAssist: Tools for Enhancing Touchscreen-Based Image Exploration Systems for Blind and Low Vision Users,X,-,-,-,-
Effects of Environmental Noise Levels on Patient Handoff Communication in a Mixed Reality Simulation,X,-,-,-,-
ISS Companion '23: Companion Proceedings of the 2023 Conference on Interactive Surfaces and Spaces,X,-,-,-,-
Forests in the Digital Age: Concepts and Technologies for Designing and Deploying Forest Digital Twins,X,-,-,-,-
Virtual Reality as a mean for increasing privacy awareness: The escape room example,X,-,-,-,-
SA '22: SIGGRAPH Asia 2022 Technical Communications,X,-,-,-,-
ISMM 2024: Proceedings of the 2024 ACM SIGPLAN International Symposium on Memory Management,X,-,-,-,-
"Casual Games, Cognition, and Play across the Lifespan: A Critical Synthesis",X,-,-,-,-
Pedestrian motion in simulation applications using deep learning,X,-,-,-,-
Searching for Products in Virtual Reality: Understanding the Impact of Context and Result Presentation on User Experience,X,-,-,-,-
Measuring Secure Coding Practice and Culture: A Finger Pointing at the Moon is Not the Moon,X,-,-,-,-
Conversational Assessment of Mild Cognitive Impairment with Virtual Agents,X,-,-,-,-
Seamless Gaze Gesture Interactions With Various Devices Without Moving Objects as Visual Stimulation,X,-,-,-,-
"HEROES, Design of an Exergame for Balance Recovery of Stroke Patients for a Home Environment",X,-,-,-,-
Gaining Impact with Mixed Reality in Industry – A Sustainable Approach,X,-,-,-,-
Simulative Investigations of Crowd Evacuation by Incorporating Reinforcement Learning Scheme,X,-,-,-,-
"Developing an edutainment game, taboo!, for children with ADHD based on socially aware design and VCIA model",X,-,-,-,-
Volumetric Interaction: a new approach to expanding embodied experience in XR,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 Doctoral Consortium,X,-,-,-,-
Beyond Charts: A Mixed-Reality System for Visualizing and Experiencing Data,X,-,-,-,-
An Integrated Framework for Understanding Multimodal Embodied Experiences in Interactive Virtual Reality,X,-,-,-,-
Play to Learn: from Serious Games to just Games,X,-,-,-,-
UIST '23 Adjunct: Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,X,-,-,-,-
Assessing Superhuman Speed as a Gamified Reward in a Virtual Reality Bike Exergame,X,-,-,-,-
VRCAI '22: Proceedings of the 18th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,X,-,-,-,-
CatHill: Emotion-Based Interactive Storytelling Game as a Digital Mental Health Intervention,X,-,-,-,-
Dance with Rhythmic Frames: Improving Dancing Skills by Frame-by-Frame Presentation,X,-,-,-,-
A Virtual Reality Framework for Human-Driver Interaction Research: Safe and Cost-Effective Data Collection,X,-,-,-,-
A Community-Based Exploration Into Gesture-driven Locomotion Control in Virtual Reality,X,-,-,-,-
The Absence of Athletic Avatars' Effects on Physiological and Perceptual Responses while Cycling in Virtual Reality,X,-,-,-,-
Fit to Draw: An Elevation of Location-Based Exergames,X,-,-,-,-
The Effects of Frame Rate Variation on Game Player Quality of Experience,X,-,-,-,-
Designing Gaze-Aware Attention Feedback for Learning in Mixed Reality,X,-,-,-,-
Changing Parent Attitudes Towards HPV Vaccination by Including Adolescents in Multiparty Counseling using Virtual Agents,X,-,-,-,-
The Impact of Latency on Target Selection in First-Person Shooter Games,X,-,-,-,-
ICIMMI '22: Proceedings of the 4th International Conference on Information Management &amp; Machine Intelligence,X,-,-,-,-
Blended Collaboration: Communication and Cooperation Between Two Users Across the Reality-Virtuality Continuum,X,-,-,-,-
Bean Academy: A Music Composition Game for Beginners with Vocal Query Transcription,X,-,-,-,-
"How to Notify Team Members during Asynchronous Remote Collaboration supported by Mixed Reality: Comparing Visual, Audio and Tactile Notifications",X,-,-,-,-
Communication for Underwater Sensor Networks: A Comprehensive Summary,X,-,-,-,-
IoT Games and Gamified Systems: Summertime Sadness or Lust for Hype?,X,-,-,-,-
Predicting Player Engagement in Tom Clancy's The Division 2: A Multimodal Approach via Pixels and Gamepad Actions,X,-,-,-,-
FUNARCH 2023: Proceedings of the 1st ACM SIGPLAN International Workshop on Functional Software Architecture,X,-,-,-,-
Adaptive Field-of-view Restriction: Limiting Optical Flow to Mitigate Cybersickness in Virtual Reality,X,-,-,-,-
"Bees, Birds and Butterflies: Investigating the Influence of Distractors on Visual Attention Guidance Techniques",X,-,-,-,-
Induce a Blink of the Eye: Evaluating Techniques for Triggering Eye Blinks in Virtual Reality,X,-,-,-,-
From Letterboards to Holograms: Advancing Assistive Technology for Nonspeaking Autistic Individuals with the HoloBoard,X,-,-,-,-
PEARC '24: Practice and Experience in Advanced Research Computing 2024: Human Powered Computing,X,-,-,-,-
Towards User-Aware VR Learning Environments: Combining Brain-Computer Interfaces with Virtual Reality for Mental State Decoding,X,-,-,-,-
Lundheim: Exploring Affective Audio Techniques in an Action-Adventure Video Game,X,-,-,-,-
"Touching the Moon: Leveraging Passive Haptics, Embodiment and Presence for Operational Assessments in Virtual Reality",X,-,-,-,-
ICEDS '24: Proceedings of the 2024 5th International Conference on Education Development and Studies,X,-,-,-,-
Sweating Avatars Decrease Perceived Exertion and Increase Perceived Endurance while Cycling in Virtual Reality,X,-,-,-,-
COER: A Network Interface Offloading Architecture for RDMA and Congestion Control Protocol Codesign,X,-,-,-,-
